8th grade reading,,,,,
,,,,,
# Correct,Scale Score,Growth points,Target score,SE,
0,1212,276,1488,138,
1,1305,154,1459,77,
2,1361,112,1473,56,
3,1396,94,1490,47,
4,1421,82,1503,41,
5,1442,76,1518,38,
6,1460,70,1530,35,
7,1475,66,1541,33,
8,1490,64,1554,32,
9,1503,62,1565,31,
10,1515,60,1575,30,
11,1527,58,1585,29,
12,1538,58,1596,29,
13,1549,56,1605,28,Level 1/2
14,1560,56,1616,28,
15,1570,56,1626,28,
16,1580,56,1636,28,
17,1590,54,1644,27,
18,1600,54,1654,27,
19,1610,56,1666,28,
20,1621,56,1677,28,
21,1631,56,1687,28,Level 2/3
22,1642,,,,
23,1653,,,,
24,1664,,,,
25,1676,,,,
26,1689,,,,
27,1703,,,,
28,1719,,,,
29,1736,,,,
30,1756,,,,
31,1782,,,,
32,1816,,,,
33,1871,,,,
34,1964,,,,
