Algebra II,,,,,
,,,,,
# Correct,Scale Score,Growth points,Target score,SE,
0,1300,276,1576,138,
1,1393,154,1547,77,
2,1448,110,1558,56,
3,1482,92,1574,46,
4,1506,84,1590,42,
5,1526,74,1600,37,
6,1544,70,1614,35,
7,1559,66,1625,33,
8,1572,62,1634,31,
9,1585,60,1645,30,
10,1596,58,1654,29,
11,1607,56,1663,28,
12,1618,56,1674,28,
13,1628,54,1682,27,Level 1/2
14,1638,54,1692,27,
15,1647,54,1701,27,
16,1657,52,1709,26,
17,1666,52,1718,26,
18,1675,52,1727,26,
19,1684,52,1736,26,
20,1694,52,1746,26,
21,1703,54,1757,27,Level 2/3
22,1713,,,,
23,1722,,,,
24,1732,,,,
25,1743,,,,
26,1754,,,,
27,1765,,,,
28,1778,,,,
29,1791,,,,
30,1806,,,,
31,1823,,,,
32,1843,,,,
33,1868,,,,
34,1902,,,,
35,1957,,,,
36,2049,,,,
