HS English 1 ,,,,,
,,,,,
# Correct,Scale Score,Growth points,Target score,SE,
0,1272,276,1548,138,
1,1365,154,1519,77,
2,1420,110,1530,55,
3,1454,92,1546,46,
4,1479,84,1563,42,
5,1500,74,1574,37,
6,1517,70,1587,35,
7,1532,66,1598,33,
8,1546,64,1610,34,
9,1559,60,1619,30,
10,1571,60,1631,30,
11,1583,58,1641,29,
12,1593,56,1649,28,Level 1/2
13,1604,56,1660,28,
14,1614,56,1670,28,
15,1625,56,1681,28,
16,1635,54,1689,27,
17,1645,56,1701,28,
18,1655,56,1711,28,
19,1665,56,1721,28,
20,1676,56,1732,28,Level 2/3
21,1654,,,,
22,1665,,,,
23,1678,,,,
24,1691,,,,
25,1705,,,,
26,1721,,,,
27,1738,,,,
28,1759,,,,
29,1784,,,,
30,1819,,,,
31,1874,,,,
32,1967,,,,
