Geometry,,,,,
,,,,,
# Correct,Scale Score,Growth points,Target score,SE,
0,1294,276,1570,138,
1,1386,154,1540,77,
2,1442,110,1552,56,
3,1476,92,1568,46,
4,1501,84,1585,42,
5,1521,74,1595,37,
6,1538,70,1608,35,
7,1553,66,1619,33,
8,1567,62,1629,31,
9,1579,60,1639,30,
10,1591,58,1649,29,Level 1/2
11,1602,56,1658,28,
12,1612,56,1668,28,
13,1622,54,1676,27,
14,1632,54,1686,27,
15,1642,54,1696,27,
16,1651,52,1703,26,
17,1660,52,1712,26,
18,1669,52,1721,26,
19,1679,52,1731,26,Level 2/3
20,1687,,,,
21,1696,,,,
22,1706,,,,
23,1715,,,,
24,1725,,,,
25,1735,,,,
26,1745,,,,
27,1756,,,,
28,1767,,,,
29,1779,,,,
30,1793,,,,
31,1808,,,,
32,1825,,,,
33,1844,,,,
34,1869,,,,
35,1902,,,,
36,1957,,,,
37,2050,,,,
